Candidate,Companion Star,R.A.,dec.,distance [light years],Companion star V magnitude,Spectrum,Period [hrs],Semimajor axis [km],Mass [MSun],Companion Star Mass [MSun],Black Hole Circumference [km]
Cygnus X-1,HDE 226868,19h58m21.7s,+35°12'06'',7000,8.9,09.7 Iab,134.396,33000000,16±5,31,300
RX J0042.3+4115,,00h42m22.94s,+41°15'34.0'',2500000,,,,,,,
3U 004322+,,00h44m50.4s,+33°01'17'',,G,,278,<20000000,,,
XTE J0421+560,CI Cam,04h19m41s,+56°00'00'',,,B-I,,,,,
GRO J0422+32,Nova Per 1992,04h21m46.9s,+32°54'36'',6500,22,M2 V,5.0918,1800000,4.3±0.7,0.45,80
LMC X-3,,05h38m56.4s,-64°05'01'',180000,16.7,B3 Ve,40.9150,9600000,7.6±1.6,4.5,140
LMC X-1,R148,05h39m38.7s,-69°44'36'',180000,14,O7 III-V,101.491,27000000,7±3,35,130
A 0620-00,Nova Mon 1975,06h22m44.5s,-00°20'45'',2700,18,K4 V,7.7524,3100000,10.8±2.1,0.6,200
GRS 1009-45,Nova Vela 1993,10h13m36.3s,-45°04'32'',10000,,K8 V,6.8449,2100000,4.2±0.6?,0.6?,80
XTE J1118+480,KV Uma,11h18m10.79s,+48°02'11.2'',,14,K7-M0 V,4.0783,1700000,6.5±0.4,0.3,120
GRS 1124-683,Nova Muscae 1991,11h26m26.7s,-68°40'33'',3000,20,K5 V,10.3825,3400000,7.3±0.9,1.0,140
GS 1354-645,BW Cir,13h58m09.92s,-64°44'04.9'',,16.9,,,,,,
4U 1543-47,IL Lup,15h47m08.6s,-47°40'09'',13000,17,A2 V,26.7938,7200000,9.4±1.0,2.7,170
XTE J1550-564,,15h50m58.78s,-56°28'35.0'',8500,16.0,K3 III,37.044,8600000,9.6±1.2,0.9,180
A1524-617,KZ TrA,16h32m16.8s,-67°27'43'',,18.5,,,,,,
4U 1630-47,Nor X-1,16h34m01.61s,-47°23'32'',33000,,,,,,,
XTE J1650-500,,16h50m01.0s,-49°57'45'',,,G/K,5.09,2100000,8.2,,150
GRO J1655-40,Nova Sco 1994,16h54m00.2s,-39°50'45'',10000,14.4,F4IV,62.926,11000000,6.3±0.3,2.4,120
GRS 1659-487,GX 339-4,17h02m49.4s,-48°47'2'',13000,,F8-G2 III,14.8,3800000,5.8±0.5,,110
H 1705-250,Nova Oph 1977,17h08m14.2s,-25°05'32'',33000,21,K5 V,12.5,3700000,7.0±1.3,0.3?,130
XTE J1709-267,,17h09m,-26°42',,,,,,,,
GRS 1716-249,V2293 Oph,17h19m36.9s,-25°01'03'',7500,,M0-5 V,,,>4.9,,>90
XTE J1720-318,,17h20m,-31°48',,,,,,,,					
KS 1730-31,,17h30m,-31°,,,,,,,,					
XTE J1739-302,,17h39m,-30°12',,,,,,,,					
GRS 1737-31,,17h40m09s,-31°02'24'',,,,,,,,					
H 1741-322,,17h41m,-32°,,,,,,,,
EXS 1737.9-2952,,17h41m06s,-29°53',30000,,,,,,,			
GRS 1739-278,,17h42m00.03s,-27°44'52.7'',32000,23.2,>F5 V,,,,,			
1E 1740.7-2942,,17h44m03s,-29°43'25'',30000,,,304.8,<20000000,,,
H 1743-32,,17h45m02s,-32°13'36'',,,,,,,,					
XTE J17464-3213,,17h46m15.61s,-32°13'59.9'',,,,,,,,					
XTE J1748-288,,17h48m,-28°48',,,,,,,,					
RX J1749.8-3312,,17h49m50.6s,-31°11'55'',,,,,,,,					
XTE J1755-324,,17h55m,-32°24',,,,,,,,
4U 1755-338,V4134 Sgr,17h58m40.0s,-33°48'27'',,18.8,,4.4,<1400000,,,		
GRS 1758-258,,18h01m12.3s,-25°44'36'',26000,,K,442.8,<30000000,,,	
SAX J1805.5-246,,18h05m34s,-20°30'48'',,,,,,,,					
XTE J1806-246,,18h06m,-24°36',,,,,,,,					
XTE J1819-254,V4641 Sgr,18h19m21.58s,-25°24'25.1'',32000,,B9 III,67.6152,13000000,7.1±0.3,3.1,130
RX J1826.2-1450,LS 5039,18h26m15.03s,-14°50'53.6'',,11.23,O6.5 Vf,98.81,<10000000,,,		
EXO 1846-031,,18h49m17.1s,-03°03'43.7'',,,,,,,,					
XTE J1856+053,,18h56m39s,+05°19'44'',,,,,,,,					
XTE J1859+226,V404 Vul,18h58m41.5s,+22°39'30'',,,G5,9.17,3500000,9.8±2.2,<1.5,180
XTE J1901+014,,19h01m41s,+01°26'18'',,,,,,,,					
XTE J1908+094,,19h08m53.077s,+09°23'04.90'',,,,,,,,	
SS433,V1343 Aql,19h11m49.48s,+04°58'57.8'',16000,14.2,A I,314.09,51000000,11±5,19,200
GRS 1915+105,XN Aql 1992,19h15m11.6s,+10°56'45'',39000,,K-M III,820,77000000,14±4,1.5,260
4U 1918+146,,19h20m17s,+14°42'19'',,,,,,,,					
4U 1957+115,V1408 Aql,19h59m24.0s,+11°42'30'',18.7,,9.3,<2000000,,,		
GS 2000+250,Nova Vul 1988,20h02m49.6s,+25°14'11'',6500,21,K5 V,8.2582,2900000,7.5±0.3,0.3,140
XTE J2012+381,,20h12m37.7s,+38°11'01'',,,,,,,,					
GS 2023+338,V404 Cygni,20h24m03.8s,+33°52'04'',8000,12.7,K0 III,155.31,23000000,11.7±1.7,0.6,220
2S 2318+62,,23h18m,+62°,,,,,,,,					
